date,value
2017-02-21,665.11
2017-02-20,660.10
2017-02-17,652.55
2017-02-16,653.19
2017-02-15,654.74
2017-02-14,642.57
2017-02-13,645.03
2017-02-10,636.91
2017-02-09,625.74
2017-02-08,624.49
2017-02-07,618.36
2017-02-06,616.37
2017-02-03,625.63
2017-02-02,622.02
2017-02-01,624.50
2017-01-31,622.91
2017-01-30,619.35
2017-01-27,636.03
2017-01-26,637.55
2017-01-25,634.17
2017-01-24,634.17
2017-01-23,633.29
2017-01-20,621.47
2017-01-19,615.97
2017-01-18,617.89
2017-01-17,619.86
2017-01-16,614.82
2017-01-13,613.09
2017-01-12,616.00
2017-01-11,601.48
2017-01-10,598.45
2017-01-09,594.30
2017-01-06,593.96
2017-01-05,597.86
2017-01-04,593.23
2017-01-03,595.39
2017-01-02,573.95
2016-12-30,580.11
2016-12-29,580.11
2016-12-28,575.81
2016-12-27,565.36
2016-12-26,564.63
2016-12-23,558.05
2016-12-22,551.48
2016-12-21,555.25
2016-12-20,554.63
2016-12-19,550.09
2016-12-16,562.41
2016-12-15,562.47
2016-12-14,560.70
2016-12-13,570.99
2016-12-12,570.01
2016-12-09,582.74
2016-12-08,584.43
2016-12-07,591.54
2016-12-06,588.40
2016-12-05,576.30
2016-12-02,580.97
2016-12-01,573.17
2016-11-30,596.28
2016-11-29,587.42
2016-11-28,605.42
2016-11-25,592.94
2016-11-24,591.36
2016-11-23,597.04
2016-11-22,596.74
2016-11-21,588.23
2016-11-18,577.55
2016-11-17,575.71
2016-11-16,585.23
2016-11-14,574.62
2016-11-11,570.05
2016-11-10,589.48
2016-11-09,609.30
2016-11-08,617.96
2016-11-07,616.94
2016-11-04,593.32
2016-11-03,594.78
2016-11-01,609.96
2016-10-31,625.35
2016-10-28,619.41
2016-10-27,618.85
2016-10-26,614.77
2016-10-25,615.16
2016-10-24,617.02
2016-10-21,617.49
2016-10-20,614.88
2016-10-19,611.68
2016-10-18,614.35
2016-10-17,603.89
2016-10-14,594.94
2016-10-13,588.69
2016-10-11,587.77
2016-10-10,593.99
2016-10-07,588.60
2016-10-06,584.13
2016-10-05,580.37
2016-10-04,571.56
2016-10-03,572.73
2016-09-30,562.19
2016-09-29,562.03
2016-09-28,571.71
2016-09-27,562.34
2016-09-26,559.17
2016-09-23,565.37
2016-09-22,568.23
2016-09-21,562.44
2016-09-20,556.12
2016-09-19,552.40
2016-09-16,549.79
2016-09-15,557.78
2016-09-14,549.60
2016-09-13,547.29
2016-09-12,564.30
