date,DEC,CDI,usd,ibov
1998-01-02,100.00,100.00,100.00,100.00
1998-01-05,100.59,100.13,100.00,101.55
1998-01-06,101.18,100.26,100.04,98.82
1998-01-07,101.78,100.38,100.09,95.92
1998-01-08,102.38,100.51,100.13,92.72
1998-01-09,102.98,100.64,100.17,89.56
1998-01-12,103.59,100.77,100.24,84.70
1998-01-13,104.20,100.90,100.20,91.23
1998-01-14,104.81,101.03,100.22,91.49
1998-01-15,105.43,101.16,100.37,88.16
1998-01-16,106.05,101.28,100.36,90.34
1998-01-19,106.67,101.41,100.32,93.31
1998-01-20,107.30,101.54,100.36,92.60
1998-01-21,107.93,101.67,100.38,90.85
1998-01-22,108.57,101.79,100.37,91.40
1998-01-23,109.21,101.92,100.45,92.54
1998-01-26,109.85,102.05,100.46,92.37
1998-01-27,110.50,102.17,100.53,93.06
1998-01-28,111.15,102.30,100.56,94.34
1998-01-29,111.80,102.42,100.58,94.84
1998-01-30,112.46,102.53,100.64,93.60
1998-02-02,113.12,102.65,100.64,95.66
1998-02-03,113.79,102.77,100.71,95.61
1998-02-04,114.46,102.89,100.72,95.98
1998-02-05,115.13,103.01,100.72,96.63
1998-02-06,115.81,103.14,100.80,96.10
1998-02-09,116.49,103.26,100.81,97.76
1998-02-10,117.18,103.38,100.89,98.90
1998-02-11,117.87,103.50,100.90,100.02
1998-02-12,118.57,103.62,100.92,99.37
1998-02-13,119.26,103.74,100.99,99.68
1998-02-16,119.97,103.86,100.98,98.70
1998-02-17,120.67,103.98,101.07,99.71
1998-02-18,121.38,104.10,101.08,99.56
1998-02-19,122.10,104.22,101.14,98.47
1998-02-20,122.82,104.34,101.16,98.71
1998-02-25,123.54,104.46,101.18,100.42
1998-02-26,124.27,104.58,101.19,101.79
1998-02-27,125.01,104.70,101.24,101.17
1998-03-02,125.13,104.81,101.25,104.06
1998-03-03,125.25,104.93,101.26,104.72
1998-03-04,125.25,105.04,101.33,104.51
1998-03-05,125.24,105.14,101.33,104.67
1998-03-06,125.25,105.24,101.34,107.44
1998-03-09,128.79,105.34,101.42,108.25
1998-03-10,128.78,105.45,101.42,107.64
1998-03-11,130.49,105.55,101.43,108.55
1998-03-12,131.01,105.65,101.46,108.24
1998-03-13,132.59,105.75,101.51,111.32
1998-03-16,132.97,105.85,101.52,111.21
1998-03-17,132.18,105.96,101.52,112.17
1998-03-18,135.42,106.06,101.60,114.33
1998-03-19,135.30,106.16,101.60,114.23
1998-03-20,137.78,106.26,101.62,114.53
1998-03-23,139.39,106.36,101.65,114.82
1998-03-24,140.15,106.47,101.67,115.71
1998-03-25,155.23,106.57,101.73,114.53
1998-03-26,155.78,106.67,101.75,113.56
1998-03-27,158.77,106.77,101.78,115.42
1998-03-30,158.50,106.88,101.79,113.52
1998-03-31,160.68,106.98,101.87,114.70
1998-04-01,162.01,107.08,101.88,114.07
1998-04-02,164.69,107.18,101.88,114.44
1998-04-03,163.97,107.29,101.96,112.34
1998-04-06,165.09,107.39,102.00,113.86
1998-04-07,164.65,107.49,102.00,114.50
